"date","row_type","item","metric","current_state","month_3_projection","month_6_projection","monthly_cost_usd_low","monthly_cost_usd_base","monthly_cost_usd_high","monthly_revenue_usd_low","monthly_revenue_usd_base","monthly_revenue_usd_high","viability_signal","recommendation","source","notes"
"2026-03-25","code_risk","Pacing and blocking","Bot and rate-limit exposure","Crawler uses 500ms page delay and 1s per-domain pacing, and records 429 domains. This helps but does not eliminate blocking risk.","As usage grows, repeated checks from the same egress IPs will draw more blocks.","By month 6, IP rotation, proxy strategy, or browser fallback for premium checks may be needed.","","","","","","","mixed","Plan for scanner egress control before scale, not after.","C:\\DEV\\linkrescue\\packages\\crawler\\src\\crawl-config.ts#L10 | C:\\DEV\\linkrescue\\packages\\crawler\\src\\domain-limiter.ts#L10 | C:\\DEV\\linkrescue\\packages\\crawler\\src\\index.ts#L224","Good first layer, not a long-term moat."
"2026-03-25","code_risk","API read usage","Potential cheap-abuse vector","Agency currently allows 1000 API read requests per hour, and each check-links request can contain 20 URLs.","By month 3, one serious customer can push a meaningful amount of network work even without full-site scans.","By month 6, this should be tied to usage credits, not just request count.","","","","","","","negative","Meter by URLs checked or link checks consumed, not just API calls.","C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts#L67 | C:\\DEV\\linkrescue\\apps\\web\\src\\app\\api\\v1\\check-links\\route.ts#L317","20,000 URL checks per hour is possible on current limits."
"2026-03-25","code_risk","Monthly crawl guardrail","Missing enforcement","Tier config includes monthly crawl page limits, but enforcement was not found in the active code paths reviewed.","This leaves margin exposed if customers use high-frequency scans heavily.","By month 6, this becomes a pricing and reliability problem if not enforced.","","","","","","","negative","Enforce monthly crawl pages and consider overage billing.","C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts#L22 | C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts#L42 | C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts#L69","Important gap between pricing design and implementation."
"2026-03-25","code_risk","API scan callback behavior","Webhook completeness","Per-scan webhook_url is accepted in API scan requests but appears only to be logged, not delivered as an actual callback.","This can create developer trust issues if documented behavior does not match runtime behavior.","By month 6, fixing this is table stakes for API credibility.","","","","","","","negative","Fix before making API the headline feature.","C:\\DEV\\linkrescue\\apps\\web\\src\\app\\api\\v1\\scans\\route.ts#L142","General account webhooks exist; per-scan callback path looks incomplete."
"2026-03-25","unit_economics","Current base cost","Platform floor","With Vercel Pro plus Supabase Pro, the real minimum operating floor is roughly $45 per month before meaningful usage.","Still roughly the same at month 3 if adoption is light.","Still manageable by month 6 if usage is controlled.","45","55","85","","","","positive","Very manageable for an early product.","https://vercel.com/pricing | https://supabase.com/docs/guides/platform/manage-your-usage/compute","Base case includes small email and incidental usage."
"2026-03-25","unit_economics","Current architecture sweet spot","Best-fit customer profile","Low to moderate usage users, small publishers, and agencies with a modest number of domains are economically safe on current architecture.","This remains true through month 3.","By month 6, this is still true only if you enforce crawl budgets and keep scan jobs bounded.","","","","","","","positive","Sell to moderate users first; do not invite unlimited infra-style usage yet.","C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts | C:\\DEV\\linkrescue\\packages\\crawler\\src\\index.ts","Architecture supports careful growth."
"2026-03-25","unit_economics","Current architecture danger zone","Worst-fit customer profile","One or two serious agency customers using API heavily can consume disproportionate scan capacity at current pricing.","This becomes visible quickly if API adoption is real.","By month 6, this is the main margin and support risk.","","","","","","","negative","Do not market 'unlimited' to power users until the billing and worker model change.","C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts#L57 | C:\\DEV\\linkrescue\\apps\\web\\src\\app\\api\\v1\\scans\\route.ts#L123","Current plan copy can attract the wrong usage pattern."
"2026-03-25","scenario","Month 0","No users / pre-scale","You likely spend about $45 to $85 per month to keep the stack live and testable.","No major change if no traction yet.","Still modest if adoption is slow.","45","55","85","0","0","0","positive","Safe to keep building.","https://vercel.com/pricing | https://supabase.com/docs/guides/platform/manage-your-usage/compute | https://resend.com/pricing","Pure burn scenario."
"2026-03-25","scenario","Month 3 lean","10 Pro + 2 Agency customers","MRR about $448 on current pricing before Stripe fees. Infra likely around $60 to $140 if usage is moderate.","Could still be healthy and comfortably profitable on a cash basis.","Reliability remains okay if customers are not abusing API scans.","60","100","140","448","448","448","positive","Viable.","Pricing inferred from current LinkRescue pricing page and tier config.","This is the best early-stage shape."
"2026-03-25","scenario","Month 3 base","25 Pro + 5 Agency customers","MRR about $1,120 on current pricing before Stripe fees. Infra likely around $100 to $250 if usage remains moderate.","Still economically attractive.","Main risk shifts from cost to failed scans and support load.","100","180","250","1120","1120","1120","positive","Still viable, but engineering debt starts to matter.","https://www.linkrescue.io/ | C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts","This is likely where you start feeling the architecture limits."
"2026-03-25","scenario","Month 6 controlled growth","40 Pro + 10 Agency customers","MRR about $1,950 on current pricing before Stripe fees. Infra likely around $180 to $450 if usage is still controlled.","Margins still look good on paper.","Execution risk becomes moderate because heavier customers expose queueing and blocking limits.","180","300","450","1950","1950","1950","mixed","Viable only if usage is capped and reliability is improved.","https://www.linkrescue.io/ | C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts","Good revenue shape, but not yet infra-grade."
"2026-03-25","scenario","Month 6 API-heavy","15 Agency customers using API seriously","MRR about $1,185 on current $79 Agency pricing. Infra could range from $250 to $1,200 depending on scan frequency, support load, overages, and scanner offloading.","Gross margin can still look okay at the low end.","At the high end this becomes fragile and underpriced, especially if one or two customers are much heavier than average.","250","600","1200","1185","1185","1185","negative","Not attractive on current Agency pricing.","C:\\DEV\\linkrescue\\packages\\types\\src\\tiers.ts | C:\\DEV\\linkrescue\\apps\\web\\src\\app\\api\\v1\\check-links\\route.ts","This is the scenario the pivot creates if it works."
"2026-03-25","scenario","Month 6 adjusted pricing","30 Pro + 8 Growth API + 6 Agency Infra","If you introduce a usage-shaped ladder such as Pro $29, Growth API $99 to $149, and Agency Infra $249 plus overages, infrastructure spend likely remains manageable.","Revenue quality improves materially.","You can afford dedicated workers, better monitoring, and more support without praying customers stay light.","220","450","900","2782","3572","5062","positive","This is the healthiest version of the pivot.","Inference from competitor pricing and your architecture.","Example pricing mix: 30x29 + 8x149 + 6x249 = 3558."
"2026-03-25","pricing","Current pricing fit","Starter / Pro / Agency","Current Pro at $29 is fine for moderate product-led usage. Current Agency at $79 is likely too cheap for true API and infrastructure customers.","Month 3 pressure will be visible if API adoption starts.","By month 6, underpricing becomes likely if the pivot works.","","","","","","","negative","Readjust pricing before or alongside API push.","https://www.linkrescue.io/ | https://linkwatchdog.io/ | https://afterlink.io/","Competitor anchors leave room above your current Agency tier."
"2026-03-25","pricing","Recommended packaging","Product strategy","Keep Pro at $29 for dashboard plus light API. Replace Agency with a higher API or Infra tier and usage budgets.","Month 3 should introduce crawl budgets, URL-check budgets, and overages.","By month 6 you should be selling platform fee plus included usage, not vague unlimited access.","","","","","","","positive","Recommended: keep Pro at $29, add Growth API around $99 to $149, add Agency Infra around $249 to $399, and meter overages.","Inference from code constraints and market pricing.","This aligns price with cost drivers."
"2026-03-25","prediction","Industry 0 to 6 months","Competitive movement","Competitors will likely add more webhook and API copy because it is an obvious next step.","The market will get noisier on 'API' claims.","Real differentiation will move toward scan fidelity, workflow fit, and reliable infrastructure rather than simply having an API.","","","","","","","mixed","Invest in reliability and developer trust, not only messaging.","Inference","This is a forecast, not sourced fact."
"2026-03-25","decision","Verdict","Readjust, abandon, or full steam ahead","The pivot is viable, but not in its current pricing and worker shape if it succeeds.","The right move is not abandonment; the category and wedge are real.","The right move is also not blind full steam ahead under current economics. The product should advance with pricing and infrastructure changes in parallel.","","","","","","","mixed","READJUST","Combined analysis of code, current pricing, and current competitor landscape.","Best single-word call: readjust."
"2026-03-25","decision","Plain-English answer","Is it viable","Yes, the API pivot is viable.","Yes at month 3 if you keep usage moderate and ship the missing infrastructure fixes.","Yes at month 6 if you enforce crawl budgets, raise pricing for infra customers, and move heavy scanning off Vercel-style request workers.","","","","","","","positive","Viable with readjustment; not viable as a cheap unlimited API product.","Combined analysis.","If forced to choose only one path: readjust."
